"r","yr","value"
"wy",2010,235.458326583287
"al",2011,1408.09338788576
"ak",2011,12.8477343936049
"az",2011,1514.75706971466
"ar",2011,3507.76467328869
"ca",2011,18197.9825025236
"co",2011,1860.71709314775
"ct",2011,238.764960839827
"de",2011,269.203444709
"fl",2011,3334.89076041024
"ga",2011,3218.09566940068
"hi",2011,363.076357998176
"id",2011,2012.54887728309
"il",2011,8594.28604198017
"in",2011,4999.07372298724
"ia",2011,10742.2740774369
"ks",2011,4649.18181833819
"ky",2011,1766.8936886033
"la",2011,1743.64188626951
"me",2011,274.855756916799
"md",2011,623.071550968066
"ma",2011,230.820422571714
"mi",2011,3001.17635116799
"mn",2011,7044.84673222023
"ms",2011,2095.32534775274
"mo",2011,4046.10798320789
"mt",2011,1713.47175936236
"ne",2011,7241.6756532036
"nv",2011,143.002237014663
"nh",2011,72.3598973136274
"nj",2011,458.850582284864
"nm",2011,783.026611541058
"ny",2011,1422.6511060421
"nc",2011,3900.41512219836
"nd",2011,4315.95368019087
"oh",2011,3601.39887117104
"ok",2011,1698.59420116049
"or",2011,1787.69681911454
"pa",2011,1826.2303891513
"ri",2011,34.625527402398
"sc",2011,977.952300048223
"sd",2011,3760.82183508598
"tn",2011,1478.63002054226
"tx",2011,6780.14527055504
"ut",2011,429.060497660337
"vt",2011,169.577416886263
"va",2011,1042.01834245444
"wa",2011,3649.54373884156
"wv",2011,135.450469898698
"wi",2011,2928.67980170139
"wy",2011,323.803937158696
"al",2012,1472.41377841495
"ak",2012,13.3413926386776
"az",2012,1335.36089982009
"ar",2012,4009.9507956841
"ca",2012,20184.3447369496
"co",2012,1722.78695337755
"ct",2012,249.60148129158
"de",2012,310.922989175566
"fl",2012,3645.43935520108
"ga",2012,3250.36763358621
"hi",2012,383.507279693508
"id",2012,2049.65574071804
"il",2012,8738.30452505011
"in",2012,5061.65157360946
"ia",2012,11553.4325335678
"ks",2012,4401.0150187634
"ky",2012,1803.16930627248
"la",2012,1931.45605022379
"me",2012,280.887136268223
"md",2012,725.472856319427
"ma",2012,218.899750569867
"mi",2012,2989.61159452789
"mn",2012,7801.5730398842
"ms",2012,2565.40987020132
"mo",2012,3879.82880335974
"mt",2012,1257.3139824821
"ne",2012,6787.51056248694
"nv",2012,135.934280943866
"nh",2012,72.8965919972783
"nj",2012,482.923843295747
"nm",2012,733.334724920571
"ny",2012,1483.70784676295
"nc",2012,4113.68276740986
"nd",2012,4422.36114132701
"oh",2012,4358.04397616739
"ok",2012,1787.05872395199
"or",2012,1792.76922947785
"pa",2012,2066.38150086481
"ri",2012,30.404112359493
"sc",2012,1027.24452722096
"sd",2012,3772.49643613626
"tn",2012,1483.32567197177
"tx",2012,5974.31599842951
"ut",2012,441.088245438775
"vt",2012,176.650184052984
"va",2012,1182.77998977689
"wa",2012,3688.71319789009
"wv",2012,158.091585145492
"wi",2012,3167.68723084887
"wy",2012,337.02955347194
"al",2013,1590.59983154698
"ak",2013,14.5308780432721
"az",2013,1435.5780407922
"ar",2013,4022.46867169396
"ca",2013,22782.1518832886
"co",2013,1641.84434646151
"ct",2013,253.186233313652
"de",2013,308.074491825682
"fl",2013,3659.01355091217
"ga",2013,3602.66955890812
"hi",2013,365.235067818745
"id",2013,2290.75679990925
"il",2013,7317.8427700268
"in",2013,4552.61938931861
"ia",2013,10345.4741144482
"ks",2013,4864.75121429979
"ky",2013,2359.00930278348
"la",2013,1849.39305933172
"me",2013,288.715239568295
"md",2013,755.189709986295
"ma",2013,206.839728930381
"mi",2013,3145.88593712252
"mn",2013,7908.90127829887
"ms",2013,2354.32877385936
"mo",2013,3924.5116199989
"mt",2013,1604.85145191367
"ne",2013,6373.86685258083
"nv",2013,145.218581616353
"nh",2013,79.4200655911041
"nj",2013,471.006788281462
"nm",2013,734.720868130473
"ny",2013,1620.41177532282
"nc",2013,4332.75535283727
"nd",2013,4523.10075772891
"oh",2013,4426.75415554962
"ok",2013,1850.27416984643
"or",2013,2009.01331837792
"pa",2013,2180.15765587505
"ri",2013,32.8469936912187
"sc",2013,1025.1299942291
"sd",2013,3723.01871767447
"tn",2013,1714.6564628612
"tx",2013,6101.76005138307
"ut",2013,481.480421299346
"vt",2013,214.37914044788
"va",2013,1217.02168570456
"wa",2013,3995.34593570063
"wv",2013,163.141681165783
"wi",2013,3108.53580828553
"wy",2013,348.483821417887
"al",2014,1513.13936687442
"ak",2014,16.8665515535103
"az",2014,1334.5091395093
"ar",2014,3624.82500083065
"ca",2014,23931.0129865039
"co",2014,1796.76042628284
"ct",2014,259.842800744946
"de",2014,322.853345630885
"fl",2014,3648.61045853518
"ga",2014,3000.4436618134
"hi",2014,366.55742763358
"id",2014,2224.26287442553
"il",2014,9836.24510127783
"in",2014,5810.43634546407
"ia",2014,11196.7124609931
"ks",2014,4627.44216336801
"ky",2014,2427.52360039353
"la",2014,1847.76750129142
"me",2014,287.759639601701
"md",2014,754.899345395
"ma",2014,182.630922494068
"mi",2014,3102.59795524962
"mn",2014,7385.73827950924
"ms",2014,2331.27819372341
"mo",2014,4342.4881674788
"mt",2014,1548.46210353743
"ne",2014,7235.40584221282
"nv",2014,176.139993579319
"nh",2014,84.6778094866531
"nj",2014,514.195506685307
"nm",2014,739.215889393587
"ny",2014,1682.55669850206
"nc",2014,4088.21315415836
"nd",2014,4898.80794223032
"oh",2014,4257.92944515592
"ok",2014,1633.30193564645
"or",2014,1991.18327985107
"pa",2014,2269.0563051586
"ri",2014,34.9808134872966
"sc",2014,880.478172883504
"sd",2014,4356.19317193332
"tn",2014,1746.41001611047
"tx",2014,6273.56428240129
"ut",2014,523.385038808652
"vt",2014,221.035638816926
"va",2014,1210.40978790992
"wa",2014,3800.21719523353
"wv",2014,169.827508405181
"wi",2014,3094.55019337392
"wy",2014,349.421558460066
"al",2015,1215.89172478306
"ak",2015,15.0389138205777
"az",2015,1312.73618906748
"ar",2015,3124.0573254351
"ca",2015,23150.5135172176
"co",2015,1663.3293721668
"ct",2015,306.706151635454
"de",2015,259.563571726593
"fl",2015,3582.36276503682
"ga",2015,2775.44750958247
"hi",2015,381.83822322005
"id",2015,1902.86281491629
"il",2015,7955.93509900675
"in",2015,4680.70993363034
"ia",2015,9889.23685118721
"ks",2015,4117.62287456442
"ky",2015,2178.98106951131
"la",2015,1601.51062137143
"me",2015,261.965367909939
"md",2015,674.89481490201
"ma",2015,217.201681356435
"mi",2015,2876.14734656039
"mn",2015,6320.39640442967
"ms",2015,1856.64091553815
"mo",2015,3596.48185252989
"mt",2015,1179.48036973838
"ne",2015,6413.88803055128
"nv",2015,136.390045052514
"nh",2015,87.4936076305062
"nj",2015,564.278106168696
"nm",2015,757.034358340584
"ny",2015,1477.42696074023
"nc",2015,3581.50080338414
"nd",2015,3726.03871869171
"oh",2015,3700.44881463206
"ok",2015,1506.75100069396
"or",2015,1903.04167295061
"pa",2015,2057.98952988421
"ri",2015,34.0591274244832
"sc",2015,800.010722843546
"sd",2015,3648.41620461388
"tn",2015,1529.08190480105
"tx",2015,5741.52181197478
"ut",2015,438.350420614286
"vt",2015,190.871711783178
"va",2015,1071.4393775528
"wa",2015,3547.20102453431
"wv",2015,146.913817596689
"wi",2015,2890.2973450848
"wy",2015,311.874220350103
"al",2016,1224.83106789905
"ak",2016,15.3914960723825
"az",2016,1344.62592993199
"ar",2016,3004.91480915917
"ca",2016,22446.0054318625
"co",2016,1609.44175711849
"ct",2016,291.965314815585
"de",2016,257.792576533411
"fl",2016,3441.90815219781
"ga",2016,2836.4758591869
"hi",2016,362.54550219783
"id",2016,1957.98577952822
"il",2016,8257.85453678428
"in",2016,4545.04894472703
"ia",2016,10944.4551527768
"ks",2016,4678.81437847612
"ky",2016,2135.1712684519
"la",2016,1367.31989200379
"me",2016,256.877622092865
"md",2016,672.760511090943
"ma",2016,205.231966159977
"mi",2016,2883.25399273839
"mn",2016,7033.20712798214
"ms",2016,1818.76623951687
"mo",2016,3553.77099963703
"mt",2016,1250.30433967605
"ne",2016,6637.2994299282
"nv",2016,118.513345170916
"nh",2016,87.557008101208
"nj",2016,568.294286858666
"nm",2016,759.687736684956
"ny",2016,1439.04765030086
"nc",2016,3390.59184722122
"nd",2016,4503.99031498966
"oh",2016,3658.90755583747
"ok",2016,1562.28824772342
"or",2016,1917.29858478886
"pa",2016,1979.34013259136
"ri",2016,32.8050617026503
"sc",2016,704.113434450242
"sd",2016,3919.9406988608
"tn",2016,1383.13357274517
"tx",2016,5789.8925809921
"ut",2016,414.936287565133
"vt",2016,186.672415152984
"va",2016,1052.32124416946
"wa",2016,3583.10273291652
"wv",2016,150.38231205231
"wi",2016,2897.86494783053
"wy",2016,301.596223756976
"al",2017,1306.08193981956
"ak",2017,17.2480784959399
"az",2017,1570.07283656774
"ar",2017,3187.20411771651
"ca",2017,22425.0395369951
"co",2017,1775.63272316894
"ct",2017,301.575201334869
"de",2017,264.971065437958
"fl",2017,3528.90260184058
"ga",2017,2777.57698191066
"hi",2017,369.856013723277
"id",2017,2049.66842843749
"il",2017,8033.56599088341
"in",2017,4763.33215042778
"ia",2017,10313.4359780837
"ks",2017,4795.71908518571
"ky",2017,2197.58413258566
"la",2017,1512.81259578859
"me",2017,265.384074060851
"md",2017,719.691863028623
"ma",2017,215.666099398854
"mi",2017,2831.40026076919
"mn",2017,6960.97164643148
"ms",2017,2001.45345216436
"mo",2017,4080.61872762269
"mt",2017,1233.27517914784
"ne",2017,6312.40250483267
"nv",2017,131.907413276488
"nh",2017,90.7303309791907
"nj",2017,593.126786015561
"nm",2017,771.357517619336
"ny",2017,1453.4500840735
"nc",2017,3660.9653209922
"nd",2017,4316.10954667933
"oh",2017,3691.639325097
"ok",2017,1814.81101609603
"or",2017,2025.92464307575
"pa",2017,2067.68578373511
"ri",2017,37.3541561184808
"sc",2017,789.785535251574
"sd",2017,3602.86392435802
"tn",2017,1542.06974186312
"tx",2017,6898.32004729632
"ut",2017,466.328173461595
"vt",2017,192.190693524727
"va",2017,1121.23799624589
"wa",2017,3733.415075067
"wv",2017,166.474819016175
"wi",2017,2979.91706892813
"wy",2017,317.498960875928
"al",2018,1382.77211729165
"ak",2018,18.2867873434702
"az",2018,1493.96033251469
"ar",2018,2980.70668941762
"ca",2018,24372.1076127698
"co",2018,1883.99682398886
"ct",2018,288.481902335725
"de",2018,267.394476842334
"fl",2018,3325.0784566536
"ga",2018,2840.71902074159
"hi",2018,344.400226594109
"id",2018,2163.74568475824
"il",2018,8557.17847708516
"in",2018,4611.66646271607
"ia",2018,10517.3232702268
"ks",2018,4853.49786925913
"ky",2018,2318.01299553518
"la",2018,1505.09038692023
"me",2018,274.713227261578
"md",2018,688.237258012434
"ma",2018,236.269160836176
"mi",2018,2811.00202053039
"mn",2018,6940.89921366971
"ms",2018,1827.45651955231
"mo",2018,4024.1493644994
"mt",2018,1194.5169511689
"ne",2018,6744.97691960937
"nv",2018,144.041150343136
"nh",2018,86.4586984608436
"nj",2018,602.1826680942
"nm",2018,807.692811767861
"ny",2018,1501.61700268343
"nc",2018,3519.08483913617
"nd",2018,4016.7393687891
"oh",2018,3838.28748998023
"ok",2018,1811.10642923043
"or",2018,2160.08052528065
"pa",2018,2079.8199511288
"ri",2018,35.225464006004
"sc",2018,868.441351225261
"sd",2018,3536.66733275345
"tn",2018,1503.78294689754
"tx",2018,6879.88053354197
"ut",2018,442.467772489437
"vt",2018,189.663356790568
"va",2018,1144.33425716168
"wa",2018,3694.89709900194
"wv",2018,165.275636058489
"wi",2018,3050.36926963085
"wy",2018,345.735979862775
"al",2019,1397.04819829142
"ak",2019,18.35829206885
"az",2019,1602.90329127718
"ar",2019,3057.52666318352
"ca",2019,24319.7454780933
"co",2019,1850.30717275853
"ct",2019,280.874156156181
"de",2019,264.645732656142
"fl",2019,3573.1554281139
"ga",2019,2768.13305669795
"hi",2019,329.150038533288
"id",2019,2289.68790537623
"il",2019,7885.51866030317
"in",2019,4562.46337060944
"ia",2019,9988.07189081564
"ks",2019,4930.34377756125
"ky",2019,2178.48450214432
"la",2019,1505.74167343375
"me",2019,284.05189931649
"md",2019,698.694301006442
"ma",2019,237.533291339425
"mi",2019,2769.25148291282
"mn",2019,6292.25209240106
"ms",2019,2041.26281028289
"mo",2019,3713.85650158474
"mt",2019,1369.36576777454
"ne",2019,6232.92225020604
"nv",2019,146.876708380042
"nh",2019,74.3070081921458
"nj",2019,692.89740075346
"nm",2019,788.413698505847
"ny",2019,1536.53451277388
"nc",2019,3427.36224890345
"nd",2019,4287.30984437849
"oh",2019,3598.2950250983
"ok",2019,1816.81545346424
"or",2019,2074.55309462525
"pa",2019,2054.28586893342
"ri",2019,30.336398955952
"sc",2019,793.334035859737
"sd",2019,3222.37189438146
"tn",2019,1521.3186798845
"tx",2019,6191.92510240872
"ut",2019,451.62136285609
"vt",2019,197.155575596296
"va",2019,1097.23987391309
"wa",2019,3700.38439973346
"wv",2019,160.771634543454
"wi",2019,2815.31175593264
"wy",2019,339.203689261005
"al",2020,1398.79869289778
"ak",2020,18.1158005359568
"az",2020,1348.22661238334
"ar",2020,3544.36787045508
"ca",2020,23090.7684518769
"co",2020,1816.18243247728
"ct",2020,277.820224231374
"de",2020,299.987673991928
"fl",2020,3533.36770789427
"ga",2020,3026.60470697845
"hi",2020,307.357368828928
"id",2020,2344.29047613249
"il",2020,8780.20759879647
"in",2020,5243.57343568408
"ia",2020,11332.2741637499
"ks",2020,5822.14360192935
"ky",2020,2288.96953572377
"la",2020,1734.75539983115
"me",2020,280.327061756824
"md",2020,790.558734110974
"ma",2020,234.430302369979
"mi",2020,3056.3292621158
"mn",2020,7201.72464352738
"ms",2020,2207.30366050076
"mo",2020,4514.60557053789
"mt",2020,1498.61165101221
"ne",2020,7283.02150075087
"nv",2020,144.423055675925
"nh",2020,75.8030525075258
"nj",2020,673.388672744132
"nm",2020,754.174544373068
"ny",2020,1638.49935582007
"nc",2020,3692.1540544523
"nd",2020,4379.19185476839
"oh",2020,4131.97925075894
"ok",2020,1900.35072384417
"or",2020,2071.56778078696
"pa",2020,2193.72124651121
"ri",2020,29.8357161136393
"sc",2020,821.994171369994
"sd",2020,3757.81039081653
"tn",2020,1791.58607127489
"tx",2020,5947.44721463937
"ut",2020,483.400699490174
"vt",2020,184.388286367126
"va",2020,1222.46130388085
"wa",2020,3892.33971756258
"wv",2020,166.241747015087
"wi",2020,3249.12844932984
"wy",2020,342.387899213968
"al",2021,1569.82489406026
"ak",2021,22.6243813677647
"az",2021,1469.46407451676
"ar",2021,3824.17812361653
"ca",2021,24342.1282522942
"co",2021,2214.23683869601
"ct",2021,303.563428132797
"de",2021,326.934854380584
"fl",2021,3676.98682451324
"ga",2021,3285.65725629611
"hi",2021,374.913860239715
"id",2021,2657.68741716692
"il",2021,11197.0288033894
"in",2021,6693.65319257382
"ia",2021,14270.9978745043
"ks",2021,7108.19834606024
"ky",2021,3074.15296495831
"la",2021,1894.61194525238
"me",2021,354.048993158174
"md",2021,917.270001493521
"ma",2021,262.858604784166
"mi",2021,4012.20369235342
"mn",2021,9396.66328368925
"ms",2021,2530.08852392852
"mo",2021,5276.58760932073
"mt",2021,1517.68347277772
"ne",2021,9317.0519502905
"nv",2021,169.990918484671
"nh",2021,74.0372584760269
"nj",2021,757.520576983512
"nm",2021,925.863102994311
"ny",2021,1940.64909633283
"nc",2021,4402.88271172837
"nd",2021,4950.18307443472
"oh",2021,5083.01564776882
"ok",2021,2194.04110756563
"or",2021,2491.32280337357
"pa",2021,2514.10711061185
"ri",2021,35.9329230922475
"sc",2021,1009.45810387113
"sd",2021,4917.28137924611
"tn",2021,1918.83891603566
"tx",2021,7267.25772603134
"ut",2021,558.751833489504
"vt",2021,226.895967285334
"va",2021,1332.48741426631
"wa",2021,3941.64141327912
"wv",2021,185.540923895712
"wi",2021,4049.16720033662
"wy",2021,424.049989328199
